airbnb_id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,calendar_updated_days
6155886,31345893,2015-04-16,720,0.7,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,78,NA,NA,NA,NA,2,15,1,20,TRUE,17,47,77,352,2015-10-02,12,2015-05-16,2015-09-14,98,10,10,10,10,10,10,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,2.55,1
4218344,21892796,2014-09-28,1440,0.5,0.78,FALSE,1,1,TRUE,TRUE,FALSE,apartment,entire_place,4,1,1,2,bed,NA,80,650,2800,200,25,1,15,1,31,TRUE,0,8,17,281,2015-10-03,16,2014-10-04,2015-09-04,96,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,1.32,6
8429035,18021362,2014-07-12,NA,NA,NA,FALSE,2,2,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,200,1e3,NA,NA,NA,1,0,2,30,TRUE,29,59,89,364,2015-10-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,flexible,FALSE,FALSE,2,NA,14
5447105,504470,2011-04-12,60,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,entire_place,2,1,1,1,bed,NA,180,900,3171,500,75,2,50,3,1125,TRUE,19,39,69,344,2015-10-03,4,2015-07-21,2015-09-21,100,10,10,10,10,10,10,TRUE,NA,FALSE,strict,FALSE,FALSE,1,1.6,5
2399616,12261445,2014-02-15,720,1,1,FALSE,1,1,TRUE,TRUE,TRUE,apartment,shared_room,2,1,1,1,couch,NA,60,300,1e3,NA,NA,1,10,1,1125,TRUE,26,56,86,361,2015-10-03,28,2014-05-10,2015-10-01,96,10,9,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,1.64,0
6298108,24561694,2014-12-06,60,0.88,0.79,FALSE,2,2,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,2,bed,NA,58,NA,1100,NA,NA,1,15,2,1125,TRUE,21,51,81,356,2015-10-02,4,2015-05-22,2015-08-03,80,8,7,7,8,10,7,TRUE,NA,TRUE,flexible,FALSE,FALSE,2,0.89,5
3811538,19590448,2014-08-06,60,1,0.92,FALSE,1,1,TRUE,FALSE,TRUE,apartment,private_room,2,1,1,1,bed,NA,78,675,2215,NA,10,1,10,1,1125,TRUE,17,47,77,352,2015-10-02,15,2014-10-19,2015-08-31,95,9,9,10,10,10,9,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,1.29,0
5110524,398753,2011-02-18,NA,NA,NA,FALSE,1,1,TRUE,FALSE,FALSE,apartment,entire_place,4,1,1,1,bed,NA,150,NA,NA,NA,NA,1,0,1,1125,TRUE,0,0,0,273,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,moderate,FALSE,FALSE,1,NA,1687
1415461,7627255,2013-07-21,NA,NA,NA,FALSE,1,1,TRUE,TRUE,TRUE,loft,private_room,4,1,1,2,bed,150,87,546,1872,100,NA,2,50,1,30,TRUE,0,0,0,0,2015-10-02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,strict,FALSE,FALSE,1,NA,540
6166734,2233990,2012-04-27,720,1,0.6,TRUE,1,1,TRUE,TRUE,TRUE,apartment,private_room,2,1,1,1,bed,NA,90,NA,NA,NA,NA,1,0,1,1125,TRUE,10,33,60,335,2015-10-02,2,2015-09-22,2015-09-29,100,10,10,10,10,10,10,TRUE,NA,FALSE,flexible,FALSE,FALSE,1,2,1
